Mean	Weight	in	Catch	(kilograms)												
	1	3														
	1950	2016														
	0	15														
	1															
	0.007	0.025	0.058	0.11	0.188	0.211	0.234	0.253	0.266	0.28	0.294	0.303	0.312	0.32	0.323	0.331
	0.009	0.029	0.068	0.13	0.222	0.249	0.276	0.298	0.314	0.33	0.346	0.357	0.368	0.377	0.381	0.39
	0.008	0.026	0.061	0.115	0.197	0.221	0.245	0.265	0.279	0.293	0.308	0.317	0.327	0.335	0.339	0.346
	0.008	0.027	0.063	0.12	0.205	0.23	0.255	0.275	0.29	0.305	0.32	0.33	0.34	0.347	0.351	0.359
	0.008	0.026	0.062	0.117	0.201	0.225	0.25	0.269	0.284	0.299	0.313	0.323	0.333	0.341	0.345	0.352
	0.008	0.027	0.063	0.119	0.204	0.229	0.254	0.274	0.289	0.304	0.318	0.328	0.338	0.346	0.35	0.358
	0.008	0.028	0.066	0.126	0.215	0.241	0.268	0.289	0.304	0.32	0.336	0.346	0.357	0.365	0.369	0.378
	0.008	0.028	0.066	0.127	0.216	0.243	0.269	0.29	0.306	0.322	0.338	0.348	0.359	0.367	0.371	0.38
	0.009	0.03	0.07	0.133	0.227	0.255	0.283	0.305	0.321	0.338	0.355	0.366	0.377	0.386	0.39	0.399
	0.009	0.03	0.071	0.135	0.231	0.259	0.287	0.31	0.327	0.344	0.36	0.372	0.383	0.392	0.397	0.406
	0.006	0.011	0.074	0.119	0.188	0.277	0.337	0.318	0.363	0.379	0.36	0.42	0.411	0.439	0.45	0.444
	0.006	0.01	0.045	0.087	0.159	0.276	0.322	0.372	0.363	0.393	0.407	0.397	0.422	0.447	0.465	0.452
	0.009	0.023	0.055	0.085	0.148	0.288	0.333	0.36	0.352	0.35	0.374	0.384	0.374	0.394	0.399	0.411
	0.008	0.026	0.047	0.098	0.171	0.275	0.268	0.323	0.329	0.336	0.341	0.358	0.385	0.353	0.381	0.386
	0.009	0.024	0.059	0.139	0.219	0.239	0.298	0.295	0.339	0.35	0.358	0.351	0.367	0.375	0.372	0.427
	0.009	0.016	0.048	0.089	0.217	0.234	0.262	0.331	0.36	0.367	0.386	0.395	0.393	0.404	0.401	0.429
	0.008	0.017	0.04	0.063	0.246	0.26	0.265	0.301	0.41	0.425	0.456	0.46	0.467	0.446	0.459	0.465
	0.009	0.015	0.036	0.066	0.093	0.305	0.305	0.31	0.333	0.359	0.413	0.446	0.401	0.408	0.439	0.427
	0.01	0.027	0.049	0.075	0.108	0.158	0.375	0.383	0.364	0.382	0.441	0.41	0	0.517	0.491	0.464
	0.009	0.021	0.047	0.072	0	0.152	0.296	0	0.329	0.329	0.341	0	0	0	0	0
	0.008	0.058	0.085	0.105	0.171	0	0.216	0.277	0.298	0.304	0.305	0.309	0	0	0	0
	0.011	0.053	0.121	0.177	0.216	0.25	0	0.305	0.333	0	0.366	0.377	0.388	0	0	0
	0.011	0.029	0.062	0.103	0.154	0.215	0.258	0	0.322	0	0	0	0	0	0	0
	0.006	0.053	0.106	0.161	0.213	0	0.255	0	0	0	0	0	0	0	0	0
	0.006	0.055	0.117	0	0	0.249	0	0	0	0	0	0	0	0	0	0
	0.009	0.079	0.169	0.241	0	0	0.381	0	0	0	0	0	0	0	0	0
	0.007	0.062	0.132	0.189	0.25	0	0	0.323	0	0	0	0	0	0	0	0
	0.011	0.091	0.193	0.316	0.35	0	0	0	0.511	0	0	0	0	0	0	0
	0.012	0.1	0.21	0.274	0.424	0.454	0	0	0	0.613	0	0	0	0	0	0
	0.01	0.088	0.181	0.293	0.359	0.416	0.436	0	0	0	0.553	0	0	0	0	0
	0.012	0	0	0.266	0.399	0.449	0.46	0.485	0	0	0	0.608	0	0	0	0
	0.01	0.082	0.163	0.196	0.291	0.341	0.368	0.38	0.397	0	0	0	0	0	0	0
	0.01	0.087	0.159	0.256	0.312	0.378	0.415	0.435	0.449	0.448	0	0	0	0	0	0
	0.011	0.09	0.165	0.217	0.265	0.337	0.378	0.41	0.426	0.435	0.444	0	0	0	0	0
	0.009	0.047	0.145	0.218	0.262	0.325	0.346	0.381	0.4	0.413	0.405	0.426	0	0	0	0.415
	0.009	0.022	0.022	0.214	0.277	0.295	0.338	0.36	0.381	0.397	0.409	0.417	0.435	0	0	0
	0.007	0.077	0.097	0.055	0.249	0.294	0.312	0.352	0.374	0.398	0.402	0.401	0.41	0.41	0	0
	0.01	0.075	0.091	0.124	0.173	0.253	0.232	0.312	0.328	0.349	0.353	0.37	0.385	0.385	0.385	0
	0.008	0.062	0.075	0.124	0.154	0.194	0.241	0.265	0.304	0.305	0.317	0.308	0.334	0.334	0.334	0
	0.01	0.06	0.204	0.188	0.264	0.26	0.282	0.306	0	0	0.422	0.364	0	0	0	0
	0.007	0	0.102	0.23	0.239	0.266	0.305	0.308	0.376	0.407	0.412	0.424	0	0	0	0
	0	0.015	0.104	0.208	0.25	0.288	0.312	0.316	0.33	0.344	0	0	0	0	0	0
	0.007	0	0.103	0.191	0.233	0.304	0.337	0.365	0.361	0.371	0.403	0	0	0.404	0	0
	0.007	0	0.106	0.153	0.243	0.282	0.32	0.33	0.365	0.373	0.379	0	0	0	0	0
	0	0	0.102	0.194	0.239	0.28	0.317	0.328	0.356	0.372	0.39	0.379	0.399	0.403	0	0
	0	0	0.102	0.153	0.192	0.234	0.283	0.328	0.349	0.356	0.374	0.366	0.393	0.387	0	0
	0	0	0.136	0.136	0.168	0.206	0.262	0.309	0.337	0.366	0.36	0.361	0.367	0.379	0	0
	0	0	0.089	0.167	0.184	0.207	0.232	0.277	0.305	0.331	0.328	0.344	0.343	0.397	0.357	0
	0	0	0.111	0.15	0.216	0.221	0.249	0.277	0.316	0.338	0.374	0.372	0.366	0.396	0.377	0.406
	0	0	0.096	0.173	0.228	0.262	0.274	0.292	0.307	0.335	0.362	0.371	0.399	0.396	0.4	0
	0	0	0.124	0.175	0.222	0.242	0.289	0.303	0.31	0.328	0.349	0.383	0.411	0.41	0.419	0.409
	0	0	0.105	0.166	0.214	0.252	0.268	0.305	0.308	0.322	0.337	0.363	0.353	0.378	0.4	0
	0	0	0.056	0.128	0.198	0.255	0.281	0.303	0.322	0.323	0.334	0.345	0.369	0.407	0.41	0
	0	0.062	0.068	0.169	0.218	0.257	0.288	0.316	0.323	0.348	0.354	0.351	0.363	0.372	0.376	0.429
	0.022	0.066	0.143	0.18	0.227	0.26	0.29	0.323	0.355	0.375	0.383	0.399	0.395	0.405	0.429	0.439
	0	0.092	0.106	0.181	0.235	0.266	0.29	0.315	0.344	0.367	0.384	0.372	0.384	0.398	0.402	0.413
	0	0.055	0.102	0.171	0.238	0.268	0.292	0.311	0.33	0.365	0.374	0.376	0.388	0.396	0.398	0.407
	0	0.074	0.137	0.162	0.228	0.271	0.316	0.332	0.342	0.358	0.361	0.381	0.39	0.4	0.405	0.399
	0	0.026	0.106	0.145	0.209	0.254	0.296	0.318	0.341	0.353	0.363	0.367	0.395	0.396	0.386	0.413
	0	0.04	0.156	0.184	0.22	0.251	0.291	0.311	0.338	0.347	0.363	0.375	0.382	0.375	0.375	0.387
	0	0.0592	0.1067	0.1767	0.2179	0.2609	0.2793	0.3109	0.3247	0.3427	0.3616	0.3702	0.3882	0.3911	0.3764	0.4413
	0	0.0107	0.0977	0.2004	0.2572	0.2728	0.3002	0.3156	0.3398	0.3481	0.365	0.3706	0.3868	0.3735	0.4033	0.4014
	0	0.034	0.126	0.2112	0.2716	0.3013	0.3076	0.3308	0.3353	0.3509	0.3536	0.3702	0.3888	0.3891	0.3819	0.3883
	0	0.04758	0.16311	0.237	0.2762	0.30004	0.33128	0.33891	0.35112	0.35717	0.36996	0.37306	0.39365	0.39052	0.38879	0.36738
	0	0.057	0.1787	0.2327	0.2708	0.2928	0.3219	0.3423	0.3534	0.3668	0.3653	0.3741	0.375	0.3776	0.4179	0.3705
	0	0.0589	0.1458	0.2029	0.2716	0.3225	0.3306	0.3584	0.3696	0.3723	0.3826	0.3816	0.3918	0.386	0.3828	0.3912
	0	0.0475	0.1107	0.2123	0.2547	0.2895	0.333	0.3393	0.3613	0.3673	0.3698	0.3807	0.3777	0.3876	0.3832	0.3947
